id,prompt,use_case,clarity,created_at
577,"A survey of 200 people finds that 120 own a car, 90 own a bicycle, and 40 own both. Using set logic, find how many own only a car, only a bicycle, only both, and neither. Then calculate what percentage of car owners also own a bicycle. Show the Venn diagram reasoning in written form.",reasoning,CLEAR,2026-03-26 18:41:37.25363+00
578,Five cards are drawn from a standard 52-card deck without replacement. What is the probability that exactly 3 of the 5 cards are hearts? Show the combinatorial reasoning using combinations and explain each part of the formula.,reasoning,CLEAR,2026-03-26 18:41:37.412448+00
579,"A project has three phases. Phase 1 takes 4 weeks with 3 workers. Phase 2 takes 6 weeks with 5 workers. Phase 3 takes 3 weeks with 4 workers. Each worker costs $800 per week. What is the total labour cost? If the budget is $90,000, is the project affordable, and if not, where could workers be reduced first without affecting total duration? Reason through the trade-offs.",reasoning,PARTIAL,2026-03-26 18:41:37.588973+00
580,"Two taps fill a bath. Tap A alone takes 12 minutes. Tap B alone takes 18 minutes. The drain empties a full bath in 30 minutes. If both taps are open and the drain is open, how long does it take to fill the bath from empty? Show the net rate as a fraction and convert to minutes.",reasoning,CLEAR,2026-03-26 18:41:37.754885+00
581,"A salesperson earns a base salary of $2,500 per month plus 3% commission on sales up to $50,000 and 5% on any sales above $50,000. In a month where they sell $74,000, what is their total earnings? Compare this to a flat 4% commission on all sales and determine which structure benefits the salesperson more at this sales level.",reasoning,CLEAR,2026-03-26 18:43:01.655884+00
582,"A train 150 metres long travels at 90 km/h. How long does it take to completely pass through a tunnel that is 600 metres long? Now if a second train 200 metres long travels in the opposite direction at 70 km/h, how long do the trains take to completely pass each other? Show the distance and relative speed reasoning for both.",reasoning,CLEAR,2026-03-26 18:43:01.816446+00
583,"A student must pass at least 4 of 6 subjects to advance. Probability of passing each subject is: 0.9, 0.85, 0.7, 0.75, 0.8, 0.65. Assuming independence, calculate the probability of passing exactly 4 subjects. Explain why exact calculation here is complex and outline the combinatorial approach needed.",reasoning,CLEAR,2026-03-26 18:43:01.978114+00
584,"In a city, 60% of residents prefer public transport, 30% prefer private cars, and 10% have no preference. A survey randomly selects 5 residents. Using the binomial distribution, what is the probability that exactly 3 prefer public transport? Show the formula and calculation clearly.",reasoning,CLEAR,2026-03-26 18:43:02.137917+00
585,A rectangular box has dimensions 8cm by 5cm by 6cm. A second box has all dimensions scaled by a factor of 1.5. How do the surface areas compare? How do the volumes compare? Explain why volume scales by a cube factor while area scales by a square factor.,reasoning,CLEAR,2026-03-26 18:43:02.295296+00
586,"In a game, you roll two 6-sided dice. You win $10 if the sum is 7, lose $5 if the sum is 2 or 12, and break even otherwise. What is the expected value of one round? Show the probability of each outcome and the weighted calculation. Would you play this game and why?",reasoning,CLEAR,2026-03-26 18:44:45.726412+00
587,A mixture contains 30 litres of milk and water in a 3:2 ratio. How many litres of milk must be added so that the new ratio becomes 2:1? Show the before-and-after ratio reasoning step by step.,reasoning,CLEAR,2026-03-26 18:44:45.903188+00
588,"An employee's salary is first decreased by 20% due to budget cuts, then later increased by 25% as a reward. What is the net percentage change from the original salary? Most people guess this is a 5% gain — show precisely why they are wrong and what the correct answer is.",reasoning,CLEAR,2026-03-26 18:44:46.065444+00
589,"A school running track is an oval with two straight sections of 80m each and two semicircular ends. The diameter of each semicircular end is 50m. What is the total length of one lap? If a student runs 10 laps in 18 minutes, what is their average speed in km/h? Show all geometry and unit conversion steps.",reasoning,CLEAR,2026-03-26 18:44:46.22606+00
590,"Three friends A, B, and C can complete a task in 10, 15, and 20 days respectively working alone. They start together but A leaves after 3 days and B leaves 2 days after that. How many more days does C need to finish the task alone? Show work completed at each stage.",reasoning,CLEAR,2026-03-26 18:44:46.38294+00
591,Write something about systems failing,text-generation,PARTIAL,2026-03-26 18:44:49.270635+00
592,Create something about conflicts,text-generation,UNCLEAR,2026-03-26 18:44:49.468856+00
593,Generate something about systems,text-generation,UNCLEAR,2026-03-26 18:44:49.662196+00
594,Write about feedback in systems,text-generation,PARTIAL,2026-03-26 18:44:49.852301+00
595,Create explanation,text-generation,UNCLEAR,2026-03-26 18:44:50.048081+00
596,Build a scalable backend system that handles high traffic with some caching and load distribution.,code-generation,PARTIAL,2026-03-26 18:45:27.249874+00
597,Implement some kind of distributed system where multiple services communicate and share data.,code-generation,PARTIAL,2026-03-26 18:45:27.43816+00
598,Design a microservices-based application for a common use case with proper inter-service communication.,code-generation,PARTIAL,2026-03-26 18:45:27.643852+00
599,Build a real-time data processing system that ingests some events and does some analysis on them.,code-generation,PARTIAL,2026-03-26 18:45:27.837772+00
600,Write a backend for a social platform that supports posts users and some form of interactions.,code-generation,PARTIAL,2026-03-26 18:45:28.032212+00
601,"In a game, you roll two 6-sided dice. You win $10 if the sum is 7, lose $5 if the sum is 2 or 12, and break even otherwise. What is the expected value of one round? Show the probability of each outcome and the weighted calculation. Would you play this game and why?",reasoning,CLEAR,2026-03-26 18:46:20.253856+00
602,A mixture contains 30 litres of milk and water in a 3:2 ratio. How many litres of milk must be added so that the new ratio becomes 2:1? Show the before-and-after ratio reasoning step by step.,reasoning,CLEAR,2026-03-26 18:46:20.418495+00
603,"An employee's salary is first decreased by 20% due to budget cuts, then later increased by 25% as a reward. What is the net percentage change from the original salary? Most people guess this is a 5% gain — show precisely why they are wrong and what the correct answer is.",reasoning,CLEAR,2026-03-26 18:46:20.576721+00
604,"A school running track is an oval with two straight sections of 80m each and two semicircular ends. The diameter of each semicircular end is 50m. What is the total length of one lap? If a student runs 10 laps in 18 minutes, what is their average speed in km/h? Show all geometry and unit conversion steps.",reasoning,CLEAR,2026-03-26 18:46:20.733248+00
605,"Three friends A, B, and C can complete a task in 10, 15, and 20 days respectively working alone. They start together but A leaves after 3 days and B leaves 2 days after that. How many more days does C need to finish the task alone? Show work completed at each stage.",reasoning,CLEAR,2026-03-26 18:46:20.889453+00
606,"A dataset contains the values: 12, 15, 14, 10, 18, 22, 13, 16, 11, 19. Calculate the mean, median, mode, and range. Then identify which measure of central tendency best represents this dataset and justify your reasoning based on the distribution.",reasoning,CLEAR,2026-03-26 18:47:33.325056+00
607,"A cone has a radius of 6cm and a height of 8cm. A sphere has the same volume as this cone. What is the radius of the sphere? Show the volume formulae for both, equate them, and solve for the sphere's radius.",reasoning,CLEAR,2026-03-26 18:47:33.493797+00
608,"In a series of coin flips, what is the probability of getting at least one head in 5 flips? Show why calculating the complement is more efficient than summing individual cases, and verify your answer using both methods.",reasoning,CLEAR,2026-03-26 18:47:33.656747+00
609,"A car rental company charges $40 per day plus $0.15 per km. A competitor charges $25 per day plus $0.22 per km. For what number of kilometres per day are the two companies equal in cost? For a 3-day trip, at what daily distance does switching companies become beneficial? Show the algebraic reasoning.",reasoning,CLEAR,2026-03-26 18:47:33.814281+00
610,"A box contains 6 white and 4 black socks. In a dark room, what is the minimum number of socks you must take to guarantee at least one matching pair? Now answer the same for guaranteeing one pair of each colour. Use worst-case logical reasoning in both cases.",reasoning,CLEAR,2026-03-26 18:47:33.97276+00
611,Implement a system that handles authentication user data and some kind of content management.,code-generation,PARTIAL,2026-03-26 18:47:57.399788+00
612,Build something that processes large datasets efficiently with some pipeline architecture.,code-generation,PARTIAL,2026-03-26 18:47:57.591801+00
613,Design an API system that is scalable secure and handles multiple types of requests.,code-generation,PARTIAL,2026-03-26 18:47:57.783218+00
614,Create a platform backend that integrates with third-party services and manages some workflows.,code-generation,PARTIAL,2026-03-26 18:47:57.959068+00
615,Build an intelligent system that learns from data and makes some decisions automatically.,code-generation,PARTIAL,2026-03-26 18:47:58.259572+00
616,Two pipes fill a cistern. Pipe X fills 1/4 of the cistern per hour and Pipe Y fills 1/6 per hour. They are opened together but Pipe X is closed after 2 hours. How much longer does Pipe Y take to finish filling the cistern? Show the fraction of work done at each stage.,reasoning,CLEAR,2026-03-26 18:48:49.638722+00
617,"A bus travels between two cities. Going: 3 hours at 80 km/h. Return: same distance at 60 km/h. What is the average speed for the entire round trip? Explain why you cannot simply average 80 and 60, and show the harmonic mean reasoning.",reasoning,CLEAR,2026-03-26 18:48:49.799082+00
618,"A shop sells 3 types of chocolate: Dark at $4, Milk at $3, and White at $2.50. A customer buys a total of 12 bars spending exactly $38. They buy at least 2 of each type. How many of each type did they buy? Set up and solve the system of constraints, showing all feasible combinations.",reasoning,CLEAR,2026-03-26 18:48:49.959584+00
619,"A virus spreads such that each infected person infects 2 others every day. Starting from 1 infected person, after how many days will over 10,000 people be infected? Show the geometric progression and compare it to a scenario where each person infects 3 others — how many fewer days does the faster spread take?",reasoning,CLEAR,2026-03-26 18:48:50.120748+00
620,You have 9 balls that look identical. One is slightly heavier. You have a balance scale and can only make 2 weighings. How do you identify the heavy ball? Describe the decision tree and explain why 3 groups of 3 is the optimal first move.,reasoning,CLEAR,2026-03-26 18:48:50.283231+00
621,Generate essay about system failures,text-generation,PARTIAL,2026-03-26 18:49:38.380942+00
622,Write about dependencies causing issues,text-generation,PARTIAL,2026-03-26 18:49:38.582344+00
623,Create report about optimization trade-offs,text-generation,PARTIAL,2026-03-26 18:49:38.779144+00
624,Generate guide about uncertainty in systems,text-generation,PARTIAL,2026-03-26 18:49:38.975658+00
625,Write about adversarial situations in systems,text-generation,PARTIAL,2026-03-26 18:49:39.179168+00
626,Build me something complex that works at scale.,code-generation,UNCLEAR,2026-03-26 18:50:35.354864+00
627,Write a system that handles everything for a web app.,code-generation,UNCLEAR,2026-03-26 18:50:35.536748+00
628,Create an architecture that is good and scalable.,code-generation,PARTIAL,2026-03-26 18:50:35.712707+00
629,Make a backend that does what modern apps need.,code-generation,UNCLEAR,2026-03-26 18:50:35.893247+00
630,Design a complete solution for a tech startup idea.,code-generation,PARTIAL,2026-03-26 18:50:36.131191+00
631,Write about failures spreading in systems and how they can be handled,text-generation,PARTIAL,2026-03-26 18:54:19.308813+00
632,Create a guide on managing conflicts in projects,text-generation,PARTIAL,2026-03-26 18:54:19.610318+00
633,Generate an analysis of scalability issues,text-generation,PARTIAL,2026-03-26 18:54:19.821567+00
634,Write a report about feedback loops,text-generation,PARTIAL,2026-03-26 18:54:20.296862+00
635,Create explanation about constraints in systems,text-generation,PARTIAL,2026-03-26 18:54:21.106277+00
636,"A hotel offers two pricing models: Model A charges $120 per night with a 15% discount for stays over 5 nights. Model B charges $95 per night with no discounts but includes breakfast worth $18 per person per night. For a solo traveller staying 7 nights, which model is cheaper? Show the full cost comparison.",reasoning,CLEAR,2026-03-26 18:54:30.450146+00
637,A number when divided by 6 gives a remainder of 4. The same number when divided by 8 gives a remainder of 2. What is the smallest positive integer satisfying both conditions? Show the modular arithmetic reasoning step by step.,reasoning,CLEAR,2026-03-26 18:54:30.666483+00
638,"A factory has two machines. Machine A produces 300 units per day with 2% defect rate. Machine B produces 200 units per day with 3.5% defect rate. All production is pooled. If one unit is selected at random and found defective, what is the probability it came from Machine A? Apply Bayes' theorem and show each step.",reasoning,CLEAR,2026-03-26 18:54:31.009331+00
639,"A right-angled triangle has a hypotenuse of 17cm. One leg is 3cm longer than the other. Find both leg lengths. Set up the quadratic using the Pythagorean theorem and solve it, explaining each step including why one solution is rejected.",reasoning,CLEAR,2026-03-26 18:54:31.231555+00
640,You need to seat 4 couples at a circular table such that each person sits next to their partner. How many distinct seating arrangements are there? Explain the circular permutation formula and how the partner constraint reduces the count.,reasoning,CLEAR,2026-03-26 18:54:31.467497+00
641,"A tank is 3/5 full. After removing 45 litres it is 2/5 full. What is the full capacity of the tank? If water is now added at 9 litres per minute and removed at 4 litres per minute simultaneously, how long until the tank overflows from its current 2/5 level? Show both parts.",reasoning,CLEAR,2026-03-26 18:56:28.0883+00
642,"In a class, 40% of students passed Maths, 50% passed English, and 25% passed both. A student is chosen at random. What is the probability they passed Maths given they passed English? Use the conditional probability formula and explain what the formula measures conceptually.",reasoning,CLEAR,2026-03-26 18:56:28.43717+00
643,"A principal of $5,000 is invested in two accounts. Account A earns 5% simple interest and Account B earns 4% compound interest annually. After 5 years, which account has more money and by how much? Show both full calculations and explain why the comparison shifts over longer time horizons.",reasoning,CLEAR,2026-03-26 18:56:28.644884+00
644,"An escalator moves upward at a rate of 1 step per second. A person walking up the escalator takes 2 steps per second relative to the escalator. The escalator has 60 steps. How long does it take the person to reach the top? Now if the escalator breaks and stops, how long does it take? Compare and explain.",reasoning,CLEAR,2026-03-26 18:56:28.831708+00
645,"A box has 3 red, 4 green, and 5 blue pens. You draw pens one at a time without replacement until you get a red pen. What is the probability that you draw exactly 3 pens before getting the first red pen? Show the sequential probability reasoning and multiply correctly.",reasoning,CLEAR,2026-03-26 18:56:29.029598+00
646,Generate a structured essay explaining how multiple simultaneous failures interact to produce cascading breakdowns,text-generation,CLEAR,2026-03-26 19:00:38.955387+00
647,Write a technical article describing how hidden dependencies can lead to large-scale system failures,text-generation,CLEAR,2026-03-26 19:00:39.193503+00
648,Create a detailed report analyzing how optimizing for one metric can degrade overall system performance,text-generation,CLEAR,2026-03-26 19:00:39.403113+00
649,Generate a comprehensive guide explaining how uncertainty propagates across multi-stage processes,text-generation,CLEAR,2026-03-26 19:00:39.606763+00
650,Write a structured explanation of how adversarial conditions impact system robustness with examples,text-generation,CLEAR,2026-03-26 19:00:39.8207+00
651,Write a detailed technical report explaining how cascading failures propagate in distributed systems with step-by-step scenarios and mitigation strategies,text-generation,CLEAR,2026-03-26 19:06:18.000861+00
652,Create a comprehensive guide describing how to resolve conflicts between stakeholders with opposing priorities using structured negotiation frameworks,text-generation,CLEAR,2026-03-26 19:06:18.27874+00
653,"Generate a structured analysis explaining trade-offs between scalability, consistency, and availability in distributed architectures with real-world examples",text-generation,CLEAR,2026-03-26 19:06:18.495755+00
654,Write a formal report evaluating how feedback loops influence long-term system stability under varying conditions,text-generation,PARTIAL,2026-03-26 19:06:18.719831+00
655,Create a detailed explanation showing how resource constraints reshape solution strategies in complex systems with examples,text-generation,PARTIAL,2026-03-26 19:06:18.951633+00
